MedCodeId,Term,history,postpartum
2729691000000120,Cataleptic schizophrenia,1,
11912191000006100,[V]Personal history of schizophrenia,,
11918351000006100,"[X] Manic-depressive psychosis, depressed type without psychotic symptoms",,
12059211000006100,"Bipolar disorder, most recent episode manic",,
12059241000006100,"Bipolar I disorder, most recent episode manic",,
12480451000006100,"[X]Schizophrenia, schizotypal and delusional disorders",,
12481991000006100,Acute exacerbation of subchronic hebephrenic schizophrenia,,
12482001000006100,Acute exacerbation of subchronic schizophrenia,,
4763611000006110,Acute exacerbation of subchronic disorganised schizophrenia,,
4763631000006110,Acute exacerbation of subchronic disorganized schizophrenia,,
4763641000006120,Acute exacerbation of chronic disorganised schizophrenia,,
4763661000006120,Acute exacerbation of chronic disorganized schizophrenia,,
4763911000006110,Acute exacerbation of subchronic schizoaffective schizophrenia,,
4763921000006120,Acute exacerbation of chronic schizoaffective schizophrenia,,
7696261000006110,Acute polymorphic psychotic disorder with symptoms of schizophrenia,,
2522281000006110,"Bipolar I disorder, single manic episode with postpartum onset",,
2555231000006110,"Bipolar I disorder, single manic episode, in full remission",1,
2555241000006110,"Bipolar 1 disorder, single manic episode, full remission",1,
2648981000006120,"Bipolar I disorder, single manic episode",,
2648991000006120,"Bipolar 1 disorder, single manic episode",,
2782051000006110,"Bipolar I disorder, most recent episode manic with catatonic features",,
2998711000006120,"Bipolar I disorder, most recent episode manic, in full remission",1,
3006671000006120,"Bipolar I disorder, most recent episode hypomanic",,
3233861000006120,"Bipolar I disorder, most recent episode manic, in remission",1,
3291871000006110,"Bipolar II disorder, most recent episode hypomanic",,
3401501000006110,"Bipolar I disorder, most recent episode manic with postpartum onset",,1
3528681000006110,"Bipolar I disorder, most recent episode manic, in partial remission",,
3615771000006110,"Bipolar I disorder, most recent episode manic",,
3725431000006120,"Bipolar I disorder, single manic episode, in remission",1,
3725441000006110,"Bipolar 1 disorder, single manic episode, in remission",1,
3773101000006120,"Bipolar I disorder, single manic episode, in partial remission",,
3773111000006110,"Bipolar 1 disorder, single manic episode, in partial remission",,
2705561000006110,Chronic disorganised schizophrenia,,
2705571000006120,Chronic disorganized schizophrenia,,
2976051000006110,Chronic undifferentiated schizophrenia,,
2988481000006120,Chronic residual schizophrenia with acute exacerbations,,
3067411000006110,Chronic disorganised schizophrenia with acute exacerbations,,
3067421000006120,Chronic disorganized schizophrenia with acute exacerbations,,
3656651000006110,Chronic residual schizophrenia,,
3788101000006120,Chronic undifferentiated schizophrenia with acute exacerbations,,
3862661000006110,Chronic schizophrenia,,
4763751000006110,Chronic catatonic schizophrenia with acute exacerbation,,
4763791000006120,Chronic paranoid schizophrenia with acute exacerbation,,
3005591000006110,Disorganised schizophrenia in remission,1,
3005601000006120,Disorganized schizophrenia in remission,1,
3005611000006110,"Disorganized schizophrenia, in remission",1,
3068121000006110,Disorganised schizophrenia,,
3068131000006110,Disorganized schizophrenia,,
4539931000006110,History of schizophrenia,1,
6647221000006110,History of manic depressive disorder,1,
4763861000006120,"Latent schizophrenia, in remission",,
6890801000006120,Late onset schizophrenia,,
2998701000006120,Manic bipolar I disorder in full remission,,
3233851000006110,Manic bipolar I disorder in remission,,
3615761000006120,Manic bipolar I disorder,,
5023961000006110,Manic,,
5023971000006120,Manic stupor,,
7860821000006110,Manic symptoms co-occurrent and due to primary psychotic disorder,,
7860831000006110,Manic symptoms with primary psychotic disorder,,
2717981000006120,MDI - Manic-depressive illness,,
3169541000006110,"Mild bipolar I disorder, single manic episode",,
3671041000006110,Mild manic bipolar I disorder,,
3671051000006110,"Mild bipolar I disorder, most recent episode manic",,
5517971000006120,Mixed schizophrenic and affective psychosis,,
2964521000006110,"Moderate bipolar I disorder, single manic episode",,
3850471000006110,Moderate manic bipolar I disorder,,
3850481000006110,"Moderate bipolar I disorder, most recent episode manic",,
8008581000006120,Mood disorder of manic type,,
3527411000006120,"Paranoid schizophrenia, in remission",1,
3555731000006110,Paraphrenic schizophrenia,,
5023901000006110,Post-schizophrenic depression,1,
3328681000006110,Residual schizophrenia in remission,1,
3328691000006110,"Residual schizophrenia, in remission",1,
8237821000006120,"Recurrent manic episodes, in remission",1,
2577941000006120,"Schizophrenia, in remission",1,
4196171000006120,"Schizophrenia, catatonic, in remission",1,
4763691000006110,"Schizophrenia, catatonic",,
4763701000006110,Schizophrenic flexibilatis cerea,,
4763941000006110,"Schizoaffective schizophrenia, in remission",1,
4763951000006110,"Schizophrenia, schizoaffective, in remission",1,
5524571000006110,"Schizophreniform psychosis, manic type",,
2501011000006120,"Severe bipolar I disorder, most recent episode manic, without psychotic features",,
2715201000006110,"Severe bipolar I disorder, single manic episode with psychotic features, mood-congruent",,
2729641000006120,"Severe bipolar I disorder, single manic episode without psychotic features",,
2960491000006120,Severe manic bipolar I disorder with psychotic features,,
2960501000006110,"Severe bipolar I disorder, most recent episode manic, with psychotic features",,
3037071000006120,"Severe manic bipolar I disorder with psychotic features, mood-incongruent",,
3037081000006120,"Severe bipolar I disorder, most recent episode manic, with psychotic features, mood-incongruent",,
3174001000006110,"Severe bipolar I disorder, single manic episode with psychotic features",,
3779041000006120,"Severe manic bipolar I disorder with psychotic features, mood-congruent",,
3779051000006120,"Severe bipolar I disorder, most recent episode manic, with psychotic features, mood-congruent",,
3898991000006110,"Severe bipolar I disorder, single manic episode with psychotic features, mood-incongruent",,
8011471000006110,Severe manic bipolar I disorder,,
8237871000006120,Single manic episode in remission,1,
2611981000006120,Subchronic undifferentiated schizophrenia with acute exacerbations,,
2726261000006110,Subchronic disorganised schizophrenia with acute exacerbations,,
2726271000006120,Subchronic disorganized schizophrenia with acute exacerbations,,
2938951000006110,Subchronic disorganised schizophrenia,,
2938961000006110,Subchronic disorganized schizophrenia,,
3651771000006120,Subchronic residual schizophrenia with acute exacerbations,,
3745281000006120,Subchronic residual schizophrenia,,
3895621000006110,Subchronic undifferentiated schizophrenia,,
4196151000006110,Subchronic schizophrenia with acute exacerbations,,
4763731000006120,Subchronic catatonic schizophrenia with acute exacerbation,,
4763771000006120,Subchronic paranoid schizophrenia with acute exacerbation,,
4763891000006110,Subchronic schizoaffective schizophrenia,,
3137261000006110,Undifferentiated schizophrenia in remission,,
3137271000006120,"Undifferentiated schizophrenia, in remission",,
251628010,H/O: schizophrenia,1,
1780205015,H/O: manic depressive disorder,1,
2157096015,Manic mood,,
996171000006114,"Psychosis, schizophrenia and bipolar affective disorder resolved",,
492821000000113,Schizophrenia resolved,,
294725013,Schizophrenic disorders,,
882281000006113,Schizophrenic psychoses NOS,,
882291000006111,Schizophrenic psychoses,,
294727017,Simple schizophrenia,,
294726014,Schizophrenia simplex,,
294728010,Unspecified schizophrenia,,
28758018,Subchronic schizophrenia,,
1234861017,Chronic schizophrenic,,
294730012,Acute exacerbation of subchronic schizophrenia,,
294731011,Acute exacerbation of chronic schizophrenia,,
9225016,Schizophrenia in remission,1,
294734015,Simple schizophrenia NOS,,
819351000006115,Hebephrenic schizophrenia,,
294735019,Unspecified hebephrenic schizophrenia,,
294736018,Subchronic hebephrenic schizophrenia,,
294737010,Chronic hebephrenic schizophrenia,,
294738017,Acute exacerbation of subchronic hebephrenic schizophrenia,,
294739013,Acute exacerbation of chronic hebephrenic schizophrenia,,
294740010,Hebephrenic schizophrenia in remission,1,
294741014,Hebephrenic schizophrenia NOS,,
294742019,Catatonic schizophrenia,,
294744018,Unspecified catatonic schizophrenia,,
71539017,Subchronic catatonic schizophrenia,,
114616017,Chronic catatonic schizophrenia,,
294750011,Acute exacerbation of subchronic catatonic schizophrenia,,
294751010,Acute exacerbation of chronic catatonic schizophrenia,,
178723016,Catatonic schizophrenia in remission,,
294753013,Catatonic schizophrenia NOS,,
107878010,Paranoid schizophrenia,,
294754019,Unspecified paranoid schizophrenia,,
132503015,Subchronic paranoid schizophrenia,,
52897013,Chronic paranoid schizophrenia,,
294757014,Acute exacerbation of subchronic paranoid schizophrenia,,
294758016,Acute exacerbation of chronic paranoid schizophrenia,,
105029017,Paranoid schizophrenia in remission,,
294760019,Paranoid schizophrenia NOS,,
401763015,Acute schizophrenic episode,,
294764011,Latent schizophrenia,,
294765012,Unspecified latent schizophrenia,,
294766013,Subchronic latent schizophrenia,,
294767016,Chronic latent schizophrenia,,
294768014,Acute exacerbation of subchronic latent schizophrenia,,
294769018,Acute exacerbation of chronic latent schizophrenia,,
294770017,Latent schizophrenia in remission,,
294771018,Latent schizophrenia NOS,,
43595011,Residual schizophrenia,,
169061000006112,Restzustand - schizophrenia,,
155141000006116,Schizoaffective schizophrenia,,
294773015,Cyclic schizophrenia,,
78531000006116,Unspecified schizo-affective schizophrenia,,
123611000006110,Subchronic schizo-affective schizophrenia,,
556631000006116,Chronic schizoaffective schizophrenia,,
456801000006115,Acute exacerbation subchronic schizo-affective schizophrenia,,
456731000006115,Acute exacerbation of chronic schizo-affective schizophrenia,,
155151000006119,Schizoaffective schizophrenia in remission,,
155161000006117,Schizo-affective schizophrenia NOS,,
401764014,Other schizophrenia,,
294788013,Cenesthopathic schizophrenia,,
1219653018,Atypical schizophrenia,,
294787015,Coenesthopathic schizophrenia,,
294789017,Other schizophrenia NOS,,
294790014,Schizophrenia,,
223601000000119,Manic psychosis,,
882311000006110,Manic-depressive psychoses,,
401765010,"Manic disorder, single episode",,
789221000006116,Hypomanic psychoses,,
294802018,"Single manic episode, unspecified",,
294803011,"Single manic episode, mild",,
294804017,"Single manic episode, moderate",,
294805016,"Single manic episode, severe",,
294806015,"Single manic episode, severe, with psychosis",,
294807012,Single manic episode in partial remission,,
294808019,Single manic episode in full remission,,
294809010,"Manic disorder, single episode NOS",,
294810017,Recurrent manic episodes,,
294811018,"Recurrent manic episodes, unspecified",,
294812013,"Recurrent manic episodes, mild",,
294813015,"Recurrent manic episodes, moderate",,
182871000006115,"Recurrent manic episodes, severe",,
294815010,"Recurrent manic episodes, severe, with psychosis",,
182861000006110,"Recurrent manic episodes, in partial remission",,
294817019,"Recurrent manic episodes, in full remission",1,
294818012,Recurrent manic episode NOS,,
513801000006112,"Bipolar affective disorder, current episode manic",,
294847017,Manic-depressive - now manic,,
294848010,"Bipolar affective disorder, currently manic, unspecified",,
294849019,"Bipolar affective disorder, currently manic, mild",,
294850019,"Bipolar affective disorder, currently manic, moderate",,
513691000006116,Severe manic bipolar I disorder without psychotic features,,
513701000006116,"Bipolar affect disord, currently manic,severe with psychosis",,
513741000006119,Manic bipolar I disorder in partial remission,,
513811000006110,"Bipolar affective disorder, currently manic, in full remission",,
294858014,"Bipolar affective disorder, currently manic, NOS",,
294860011,Manic-depressive - now depressed,,
294891017,Other and unspecified manic-depressive psychoses,,
294892012,Unspecified manic-depressive psychoses,,
294893019,Atypical manic disorder,,
294896010,Other and unspecified manic-depressive psychoses NOS,,
346955013,Childhood schizophrenia NOS,,
1974351000006120,"Paranoid schizophrenia, continuous",,
1974391000006110,"Paranoid schizophrenia, episodic with progressive deficit",,
1974431000006120,"Paranoid schizophrenia, episodic with stable deficit",,
1974451000006110,"Paranoid schizophrenia, episodic remittent",,
1974481000006120,"Paranoid schizophrenia, incomplete remission",,
1974511000006110,"Paranoid schizophrenia, complete remission",1,
1976881000006110,"Paranoid schizophrenia, other",,
1974541000006110,"Paranoid schizophrenia, course uncertain, period of observation too short",,
1974601000006110,"Hebephrenic schizophrenia, continuous",,
1974611000006110,"Hebephrenic schizophrenia, episodic with progressive deficit",,
1974621000006120,"Hebephrenic schizophrenia, episodic with stable deficit",,
1974641000006110,"Hebephrenic schizophrenia, episodic remittent",1,
1974671000006120,"Hebephrenic schizophrenia, incomplete remission",,
1974691000006120,"Hebephrenic schizophrenia, complete remission",1,
1976891000006110,"Hebephrenic schizophrenia, other",,
1974721000006110,"Hebephrenic schizophrenia, course uncertain, period of observation too short",,
1974751000006120,"Catatonic schizophrenia, continuous",,
1974781000006110,"Catatonic schizophrenia, episodic with progressive deficit",,
1974801000006110,"Catatonic schizophrenia, episodic with stable deficit",,
1974831000006120,"Catatonic schizophrenia, episodic remittent",,
1974861000006110,"Catatonic schizophrenia, incomplete remission",,
1974891000006120,"Catatonic schizophrenia, complete remission",1,
1976901000006110,"Catatonic schizophrenia, other",,
1974921000006110,"Catatonic schizophrenia, course uncertain, period of observation too short",,
1974951000006120,"Undifferentiated schizophrenia, continuous",,
1974971000006110,"Undifferentiated schizophrenia, episodic with progressive deficit",,
1975001000006120,"Undifferentiated schizophrenia, episodic with stable deficit",,
1975021000006110,"Undifferentiated schizophrenia, episodic remittent",,
1975051000006120,"Undifferentiated schizophrenia, incomplete remission",,
1975081000006110,"Undifferentiated schizophrenia, complete remission",1,
1976911000006110,"Undifferentiated schizophrenia, other",,
1975161000006120,"Undifferentiated schizophrenia, course uncertain, period of observation too short",,
1975191000006110,"Post-schizophrenic depression, continuous",,
1975211000006110,"Post-schizophrenic depression, episodic with progressive deficit",,
1975231000006120,"Post-schizophrenic depression, episodic with stable deficit",,
1975261000006110,"Post-schizophrenic depression, episodic remittent",,
1975281000006110,"Post-schizophrenic depression, incomplete remission",,
1975301000006120,"Post-schizophrenic depression, complete remission",1,
1976921000006120,"Post-schizophrenic depression, other",,
1975321000006110,"Post-schizophrenic depression, course uncertain, period of observation too short",,
1975351000006120,"Residual schizophrenia, continuous",,
1975381000006110,"Residual schizophrenia, episodic with progressive deficit",,
1975401000006110,"Residual schizophrenia, episodic with stable deficit",,
1975431000006120,"Residual schizophrenia, episodic remittent",,
1975441000006110,"Residual schizophrenia, incomplete remission",,
1975471000006120,"Residual schizophrenia, complete remission",1,
1976931000006120,"Residual schizophrenia, other",,
1975481000006120,"Residual schizophrenia, course uncertain, period of observation too short",,
1975491000006120,"Simple schizophrenia, continuous",,
1975501000006110,"Simple schizophrenia, episodic with progressive deficit",,
1975521000006120,"Simple schizophrenia, episodic with stable deficit",,
1975551000006110,"Simple schizophrenia, episodic remittent",,
1975571000006110,"Simple schizophrenia, incomplete remission",,
1975601000006110,"Simple schizophrenia, complete remission",1,
1976941000006110,"Simple schizophrenia, other",,
1975641000006110,"Simple schizophrenia, course uncertain, period of observation too short",,
1975751000006120,"Other schizophrenia, continuous",,
1975771000006110,"Other schizophrenia, episodic with progressive deficit",,
1975801000006110,"Other schizophrenia, episodic with stable deficit",,
1975831000006110,"Other schizophrenia, episodic remittent",,
1975841000006110,"Other schizophrenia, incomplete remission",,
1975881000006120,"Other schizophrenia, complete remission",1,
1976951000006110,"Other schizophrenia, other",,
1975911000006120,"Other schizophrenia, course uncertain, period of observation too short",,
1976001000006110,"Schizophrenia, unspecified, continuous",,
1976061000006110,"Schizophrenia, unspecified, episodic with progressive deficit",,
1976101000006110,"Schizophrenia, unspecified, episodic with stable deficit",,
1976121000006120,"Schizophrenia, unspecified, episodic remittent",,
1976141000006110,"Schizophrenia, unspecified, incomplete remission",,
1976151000006110,"Schizophrenia, unspecified, complete remission",1,
1976961000006110,"Schizophrenia, unspecified, other",,
1976171000006120,"Schizophrenia, unspecified, course uncertain, period of observation too short",,
851691000006114,Hypomanic,,
296022017,"[X]Schizophrenia, schizotypal and delusional disorders",,
425601000006114,[X]Schizophrenia,,
418221000006118,[X]Paranoid schizophrenia,,
418261000006112,[X]Paraphrenic schizophrenia,,
388741000006110,[X]Hebephrenic schizophrenia,,
378051000006119,[X]Disorganised schizophrenia,,
370451000006110,[X]Catatonic schizophrenia,,
425641000006111,[X]Schizophrenic catalepsy,,
425651000006113,[X]Schizophrenic catatonia,,
294743012,[X]Schizophrenic flexibilatis cerea,,
296031017,Undifferentiated schizophrenia,,
366571000006114,[X]Atypical schizophrenia,,
423041000006119,[X]Post-schizophrenic depression,,
424841000006113,[X]Residual schizophrenia,,
371031000006115,[X]Chronic undifferentiated schizophrenia,,
424931000006113,[X]Restzustand schizophrenic,,
426881000006111,[X]Simple schizophrenia,,
401855010,[X]Other schizophrenia,,
370631000006117,[X]Cenesthopathic schizophrenia,,
425681000006117,[X]Schizophreniform disord NOS,,
425711000006116,[X]Schizophrenifrm psychos NOS,,
296040018,"[X]Schizophrenia, unspecified",,
395031000006114,[X]Latent schizophrenic reaction,,
395021000006111,[X]Latent schizophrenia,,
423271000006116,Prepsychotic schizophrenia,,
423471000006117,Prodromal schizophrenia,,
423731000006114,[X]Pseudoneurotic schizophrenia,,
423741000006116,[X]Pseudopsychopathic schizophrenia,,
367971000006115,[X]Bouffee delirante with symptoms of schizophrenia,,
362421000006113,Acute schizophrenia-like psychotic disorder,,
368001000006112,[X]Brief schizophreniform disorder,,
368011000006110,[X]Brief schizophrenifrm psych,,
425671000006115,[X]Schizophrenic reaction,,
425511000006111,"Schizoaffective disorder, manic type",,
425571000006119,"[X]Schizoaffective psychosis, manic type",,
425701000006119,"[X]Schizophreniform psychosis, manic type",,
425691000006119,"[X]Schizophreniform psychosis, depressive type",,
376251000006112,[X]Cyclic schizophrenia,,
398631000006113,Mixed schizophrenic and affective pschosis,,
396741000006113,[X]Manic episode,,
367151000006111,"[X]Bipolar disorder, single manic episode",,
396761000006112,[X]Manic stupor,,
296118012,[X]Other manic episodes,,
401864017,"[X]Manic episode, unspecified",,
396791000006116,Manic-depressive illness,,
396801000006115,Manic-depressive psychosis,,
396071000006119,[X]Manic-depressive reaction,,
367111000006110,"Bipolar affective disorder, current episode hypomanic",,
367081000006116,[X]Bipolar affect disorder cur epi manic wout psychotic symp,,
367071000006119,"Bipolar affective disorder, currently manic, severe, with psychosis",,
424661000006111,[X]Recurrent manic episodes,,
396771000006117,"[X] Manic-depressive psychosis, depressed type without psychotic symptoms",,
396781000006119,"[X]Manic-depress psychosis,depressed type+psychotic symptoms",,
460273017,[V]Personal history of schizophrenia,,
1227584015,[V]Personal history of manic-depressive psychosis,,
5688921000006110,Manic behaviour,,
5688931000006110,Manic behavior,,
3929161000006110,"Bipolar I disorder, single manic episode with catatonic features",,
5649431000006120,Hypomanic mood,,
5688901000006120,Hypomanic behaviour,,
5688911000006120,Hypomanic behavior,,
2960791000006110,"Mood disorder, condition with manic features",,
8008591000006120,Mood disorder with manic feature,,
362391000006117,Acute polymorphic psychotic disorder without symptoms of schizophrenia,,
362381000006115,Acute polymorphic psychotic disorder co-occurrent with symptoms of schizophrenia,,
8434671000006110,Schizophrenia TOM (Therapy Outcome Measure) activity score,,
8434681000006110,Schizophrenia TOM (Therapy Outcome Measure) carer wellbeing score,,
8434701000006110,Schizophrenia TOM (Therapy Outcome Measure) impairment score,,
8434711000006110,Schizophrenia TOM (Therapy Outcome Measure) participation score,,
8434721000006110,Schizophrenia TOM (Therapy Outcome Measure) wellbeing score,,
3082681000006120,Schizophreniform disorder with good prognostic features,,
3405421000006120,Schizophreniform disorder without good prognostic features,,
3878611000006120,"Schizophreniform psychosis, depressive type",,
3946141000006120,Schizophreniform disorder,,
4082931000006110,Schizophrenic reaction,,
4119081000006110,Schizophrenic relative,,
4997831000006110,Schizophrenic language,,
5248961000006110,Schizophrenic prodrome,,
7568231000006110,Schizophrenia clinic,,
1975711000006120,"Acute schizophrenia-like psychotic disorder, without associated acute stress",,
1975731000006110,"Acute schizophrenia-like psychotic disorder, with associated acute stress",,
367951000006113,Borderline schizophrenia,,
1975191000006110,"Post-schizophrenic depression, continuous",1,
1975211000006110,"Post-schizophrenic depression, episodic with progressive deficit",1,
1975231000006120,"Post-schizophrenic depression, episodic with stable deficit",1,
1975261000006110,"Post-schizophrenic depression, episodic remittent",1,
1975281000006110,"Post-schizophrenic depression, incomplete remission",1,
1975301000006120,"Post-schizophrenic depression, complete remission",1,
1976921000006120,"Post-schizophrenic depression, other",1,
1975321000006110,"Post-schizophrenic depression, course uncertain, period of observation too short",1,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
